mainlocation,sublocation,neighborhood,frontage,purpose,size,streetwidth,pricepermeter
الرياض,جنوب الرياض,حي عريض,جنوب,غير محدد,408 ,15 ,490 
الرياض,شمال الرياض,حي الملقا,شرق,سكني,397 ,20 ,4200 
الرياض,شمال الرياض,حي الملقا,شرق,سكني,400 ,16 ,4500 
الرياض,شرق الرياض,حي اليرموك,جنوب شرقي,غير محدد,810 ,15 ,2600 
الرياض,شمال الرياض,حي بنبان,4 شوارع,غير محدد,8780 ,25 ,813 
الرياض,شمال الرياض,حي الملقا,جنوب غربي,سكني,750 ,15 ,4300 
الرياض,شمال الرياض,حي حطين,شرق,سكني,1350 ,60 ,3800 
الرياض,شمال الرياض,حي القيروان,جنوب,سكني,900 ,20 ,4200 
الرياض,شمال الرياض,حي الوادي,شمال,سكني,325 ,15 ,3200 
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,683 ,20 ,2900 
الرياض,جنوب الرياض,حي عريض,جنوب,غير محدد,408 ,15 ,490 
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,6585 ,25 ,3800 
الرياض,شمال الرياض,حي الملقا,غرب,تجاري,2000 ,60 ,9500 
الرياض,شمال الرياض,حي بنبان,4 شوارع,غير محدد,8780 ,25 ,813 
الرياض,شرق الرياض,حي النسيم الغربي,غرب,سكني,625 ,9 ,1440 
الرياض,شمال الرياض,حي النرجس,شرق,سكني,900 ,15 ,2900 
الرياض,جنوب الرياض,حي عكاظ,3 شوارع,سكني أو تجاري,3000 ,غير محدد,850 
الرياض,شمال الرياض,حي العارض,جنوب,سكني,420 ,15 ,2500 
الرياض,شرق الرياض,حي الشرق,جنوب,سكني,820 ,15 ,243 
الرياض,شمال الرياض,حي الملقا,شرق,سكني,776 ,30 ,4200 
الرياض,شمال الرياض,حي المحمدية,جنوب شرقي,سكني,1500 ,20 ,4700 
الرياض,شرق الرياض,حي الرمال,شمال,تجاري,5000 ,36 ,1250 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,600 ,15 ,3700 
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني,520 ,15 ,2650 
الرياض,غرب الرياض,حي المهدية,شرق,غير محدد,306 ,20 ,1797 
الرياض,شرق الرياض,حي الشرق,شرق,غير محدد,900 ,15 ,300 
الرياض,شمال الرياض,حي السليمانية,جنوب غربي,سكني,550 ,15 ,3600 
الرياض,شرق الرياض,حي الحمراء,شرق,سكني,1000 ,20 ,3000 
الرياض,شمال الرياض,حي العقيق,غرب,غير محدد,500 ,30 ,4000 
الرياض,شمال الرياض,حي النرجس,شمال,سكني,540 ,15 ,3300 
الرياض,شمال الرياض,حي النرجس,شرق,غير محدد,450 ,15 ,3250 
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,450 ,15 ,2450 
الرياض,شمال الرياض,حي النفل,3 شوارع,تجاري,1425 ,30 ,4561 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,900 ,15 ,3500 
الرياض,شمال الرياض,حي بنبان,4 شوارع,غير محدد,8780 ,25 ,813 
الرياض,شرق الرياض,حي الخليج,غرب,تجاري,1200 ,60 ,4500 
الرياض,شمال الرياض,حي الفلاح,شمال,سكني,600 ,20 ,3500 
الرياض,شمال الرياض,حي الندى,غرب,سكني,387 ,13 ,3800 
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,755 ,16 ,2400 
الرياض,شمال الرياض,حي الواحة,شمال,سكني,864 ,15 ,4000 
الرياض,غرب الرياض,حي المهدية,شمال غربي,تجاري,923 ,40 ,1400 
الرياض,شرق الرياض,حي الخليج,غرب,تجاري,945 ,40 ,2400 
الرياض,وسط الرياض,حي الربوة,جنوب,تجاري,2500 ,40 ,2600 
الرياض,جنوب الرياض,حي عريض,جنوب,غير محدد,408 ,15 ,490 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,523 ,15 ,4500 
الرياض,شمال الرياض,حي العارض,غرب,سكني,884 ,20 ,2000 
الرياض,شمال الرياض,حي الفلاح,غرب,تجاري,2340 ,80 ,9000 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,750 ,15 ,4000 
الرياض,شمال الرياض,حي العقيق,شرق,سكني,450 ,15 ,3500 
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,875 ,15 ,3200 
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,907 ,15 ,3330 
الرياض,شمال الرياض,حي النرجس,شمال,سكني,600 ,15 ,2400 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,1015 ,20 ,4000 
الرياض,شمال الرياض,حي حطين,3 شوارع,غير محدد,6585 ,25 ,3800 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,غير محدد,1070 ,25 ,4500 
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني أو تجاري,13700 ,60 ,5500 
الرياض,شمال الرياض,حي حطين,3 شوارع,سكني,4200 ,30 ,7142 
الرياض,شمال الرياض,حي حطين,شمال,سكني,875 ,20 ,4000 
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,تجاري,850 ,30 ,3500 
الرياض,شمال الرياض,حي بنبان,4 شوارع,غير محدد,8780 ,25 ,813 
الرياض,غرب الرياض,حي المهدية,شمال غربي,تجاري,923 ,40 ,1400 
الرياض,شمال الرياض,حي النرجس,شمال,سكني,348 ,15 ,3600 
الرياض,غرب الرياض,حي ظهرة لبن,شمال,سكني,500 ,20 ,1000 
الرياض,شمال الرياض,حي الملقا,جنوب,تجاري,1750 ,60 ,9000 
الرياض,وسط الرياض,حي الفيصلية,شمال,سكني أو تجاري,420 ,18 ,1300 
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني,1050 ,15 ,3500 
الرياض,وسط الرياض,حي جرير,شمال,سكني أو تجاري,1472 ,30 ,2200 
الرياض,شمال الرياض,حي النرجس,شرق,سكني,456 ,20 ,3450 
الرياض,شرق الرياض,حي الخليج,3 شوارع,سكني أو تجاري,1404 ,40 ,4000 
الرياض,شمال الرياض,حي النرجس,شمال,سكني,696 ,16 ,3500 
الرياض,شمال الرياض,حي العقيق,شمال,سكني,225 ,20 ,4000 
الرياض,جنوب الرياض,حي عريض,جنوب,غير محدد,408 ,15 ,490 
الرياض,شمال الرياض,حي الصحافة,جنوب,سكني,780 ,15 ,3600 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,750 ,18 ,4300 
الرياض,شمال الرياض,حي النخيل,شرق,سكني,706 ,20 ,3700 
الرياض,شمال الرياض,حي النخيل,غرب,سكني,391 ,15 ,5100 
الرياض,شرق الرياض,حي القادسية,شرق,غير محدد,1100 ,15 ,2000 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,1489 ,15 ,3400 
الرياض,شرق الرياض,حي السعادة,شمال,سكني,422 ,20 ,2000 
الرياض,شمال الرياض,حي الفلاح,3 شوارع,غير محدد,7200 ,20 ,4400 
الرياض,جنوب الرياض,حي عريض,غرب,غير محدد,900 ,20 ,445 
الرياض,شمال الرياض,حي المصيف,3 شوارع,غير محدد,2000 ,15 ,2700 
الرياض,شمال الرياض,حي النرجس,غرب,سكني,525 ,30 ,3000 
الرياض,جنوب الرياض,حي عريض,شرق,غير محدد,400 ,15 ,500 
الرياض,غرب الرياض,حي المهدية,شمال غربي,تجاري,923 ,40 ,1400 
الرياض,شرق الرياض,حي اليرموك,3 شوارع,تجاري,2037 ,36 ,2500 
الرياض,غرب الرياض,حي المهدية,شمال غربي,سكني أو تجاري,862 ,40 ,1550 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,750 ,18 ,4300 
الرياض,شمال الرياض,حي الياسمين,شرق,سكني أو تجاري,1647 ,60 ,7000 
الرياض,شرق الرياض,حي القدس,شرق,سكني,600 ,15 ,2700 
الرياض,شرق الرياض,حي اشبيلية,شرق,تجاري,900 ,30 ,5000 
الرياض,شمال الرياض,حي حطين,شرق,سكني,700 ,28 ,4000 
الرياض,شمال الرياض,حي حطين,شرق,سكني,1350 ,60 ,3750 
الرياض,شمال الرياض,حي النرجس,شرق,سكني,909 ,20 ,2800 
الرياض,شمال الرياض,حي الربيع,شمال شرقي,سكني,1140 ,20 ,3700 
الرياض,غرب الرياض,حي المهدية,شمال غربي,تجاري,923 ,40 ,1400 
الرياض,شمال الرياض,حي الملقا,شمال,غير محدد,900 ,20 ,4000 
الرياض,شمال الرياض,حي الفلاح,غرب,غير محدد,387 ,16 ,4000 
الرياض,شمال الرياض,حي الياسمين,شرق,سكني,300 ,14 ,4000 
الرياض,شرق الرياض,حي الرمال,3 شوارع,تجاري,5355 ,30 ,1300 
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,1500 ,15 ,3600 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,تجاري,1800 ,30 ,4500 
الرياض,شرق الرياض,حي اشبيلية,شمال,سكني,1500 ,20 ,2300 
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,2400 ,15 ,3000 
الرياض,شرق الرياض,حي الرمال,4 شوارع,سكني,7852 ,غير محدد,1600 
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,1500 ,15 ,4200 
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني أو تجاري,13100 ,25 ,5000 
الرياض,شمال الرياض,حي النرجس,جنوب غربي,غير محدد,869 ,20 ,3200 
الرياض,شرق الرياض,حي الحمراء,شمال غربي,غير محدد,315 ,20 ,4500 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,739 ,18 ,3950 
الرياض,شمال الرياض,حي القيروان,غرب,سكني,450 ,20 ,3100 
الرياض,شرق الرياض,حي الشرق,غرب,تجاري,5000 ,30 ,800 
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,375 ,15 ,3100 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,600 ,15 ,4200 
الرياض,شمال الرياض,حي المروج,3 شوارع,تجاري,3575 ,60 ,8000 
الرياض,جنوب الرياض,حي عريض,شمال,غير محدد,450 ,15 ,600 
الرياض,شمال الرياض,حي الملقا,غرب,سكني,900 ,20 ,3800 
الرياض,شرق الرياض,حي المونسية,غرب,سكني أو تجاري,1400 ,30 ,2500 
الرياض,شمال الرياض,حي العارض,شرق,سكني أو تجاري,2400 ,30 ,2350 
الرياض,شمال الرياض,حي القيروان,شمال,سكني,450 ,20 ,3000 
الرياض,شمال الرياض,حي العليا,3 شوارع,سكني,1404 ,12 ,3100 
الرياض,شمال الرياض,حي النخيل,غرب,سكني,552 ,12 ,4500 
الرياض,شرق الرياض,حي الرمال,شمال,تجاري,5005 ,36 ,1300 
الرياض,شرق الرياض,حي المونسية,3 شوارع,سكني,2000 ,20 ,9918 
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,800 ,12 ,2200 
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,800 ,15 ,3000 
الرياض,غرب الرياض,حي المهدية,شمال غربي,تجاري,923 ,40 ,1400 
الرياض,شمال الرياض,حي الصحافة,جنوب,سكني,810 ,15 ,3100 
الرياض,شرق الرياض,حي الملز,شرق,سكني أو تجاري,1263 ,30 ,2300 
الرياض,شمال الرياض,حي الفلاح,شمال,سكني,600 ,20 ,3800 
الرياض,شمال الرياض,حي النرجس,شمال,سكني,812 ,15 ,2250 
الرياض,شرق الرياض,حي اشبيلية,جنوب,تجاري,4500 ,36 ,2300 
الرياض,شمال الرياض,حي النرجس,شرق,سكني,456 ,20 ,3450 
الرياض,شمال الرياض,حي حطين,شمال,سكني,364 ,15 ,4500 
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,425 ,15 ,1500 
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,10850 ,25 ,3900 
الرياض,شمال الرياض,حي السليمانية,جنوب غربي,سكني,550 ,15 ,3600 
الرياض,شمال الرياض,حي حطين,جنوب,سكني,446 ,15 ,4300 
الرياض,شمال الرياض,حي حطين,شرق,سكني,1435 ,28 ,3800 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,900 ,20 ,3700 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,812 ,18 ,4400 
الرياض,شمال الرياض,حي العليا,شرق,سكني,580 ,12 ,3000 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,700 ,25 ,4500 
الرياض,شرق الرياض,حي الروضة,جنوب,سكني,420 ,12 ,2619 
الرياض,شمال الرياض,حي حطين,جنوب,سكني,700 ,30 ,5000 
الرياض,شرق الرياض,حي النسيم الغربي,شمال غربي,غير محدد,1925 ,30 ,1800 
الرياض,شرق الرياض,حي اليرموك,جنوب,تجاري,1155 ,36 ,2500 
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني,14825 ,25 ,4200 
الرياض,شمال الرياض,حي الوادي,جنوب,سكني,621 ,20 ,2900 
الرياض,شمال الرياض,حي حطين,جنوب,سكني,1200 ,36 ,4600 
الرياض,غرب الرياض,حي المهدية,شمال غربي,تجاري,923 ,40 ,1400 
الرياض,شمال الرياض,حي المغرزات,شرق,سكني,705 ,15 ,3500 
الرياض,وسط الرياض,حي الوزارات,شمال شرقي,سكني أو تجاري,2700 ,36 ,7500 
الرياض,شمال الرياض,حي الملقا,شرق,سكني,2000 ,35 ,4200 
الرياض,شمال الرياض,حي النخيل,غرب,سكني,425 ,15 ,4750 
الرياض,شرق الرياض,حي القادسية,شرق,سكني,1100 ,15 ,2000 
الرياض,شمال الرياض,حي حطين,شرق,سكني,875 ,20 ,3600 
الرياض,جنوب الرياض,حي عريض,جنوب,غير محدد,408 ,15 ,490 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,16984 ,25 ,4000 
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,سكني,1500 ,20 ,4200 
الرياض,شرق الرياض,حي القادسية,غرب,سكني,644 ,15 ,1850 
الرياض,شرق الرياض,حي النسيم الغربي,شرق,سكني,1750 ,10 ,1400 
الرياض,شرق الرياض,حي الرمال,جنوب,غير محدد,414 ,15 ,2000 
الرياض,شمال الرياض,حي النرجس,شمال,سكني,450 ,15 ,3150 
الرياض,شمال الرياض,حي حطين,شمال,غير محدد,450 ,20 ,4250 
الرياض,شمال الرياض,حي بنبان,شرق,سكني,420 ,15 ,1000 
الرياض,غرب الرياض,حي المهدية,شمال,سكني,415 ,15 ,1204 
الرياض,شمال الرياض,حي السليمانية,جنوب غربي,سكني,550 ,15 ,3600 
الرياض,شمال الرياض,حي الصحافة,3 شوارع,تجاري,5040 ,60 ,9000 
الرياض,شمال الرياض,حي النرجس,غرب,سكني,810 ,15 ,2900 
الرياض,شمال الرياض,حي الصحافة,جنوب,سكني,780 ,15 ,3100 
الرياض,شرق الرياض,حي الحمراء,شمال,سكني,1128 ,25 ,3550 
الرياض,شرق الرياض,حي اليرموك,جنوب,تجاري,750 ,80 ,4800 
الرياض,شمال الرياض,حي السليمانية,شمال,سكني أو تجاري,720 ,20 ,8000 
الرياض,جنوب الرياض,حي المدينة الصناعية الجديدة,3 شوارع,سكني,1343 ,22 ,390 
الرياض,غرب الرياض,حي المهدية,جنوب,سكني,1800 ,15 ,1000 
الرياض,شرق الرياض,حي الرمال,شمال,غير محدد,949 ,20 ,1150 
الرياض,شرق الرياض,حي الجنادرية,4 شوارع,تجاري,75342 ,60 ,1000 
الرياض,شرق الرياض,حي الروضة,غرب,سكني,1250 ,20 ,2200 
الرياض,شرق الرياض,حي قرطبة,شمال,سكني,800 ,36 ,3750 
الرياض,شمال الرياض,حي بنبان,4 شوارع,غير محدد,8780 ,25 ,813 
الرياض,شرق الرياض,حي المعيزلة,شمال غربي,سكني,1250 ,20 ,2350 
الرياض,شمال الرياض,حي النرجس,شرق,سكني أو تجاري,525 ,15 ,3150 
الرياض,شرق الرياض,حي قرطبة,4 شوارع,غير محدد,4542 ,20 ,3050 
الرياض,شرق الرياض,حي قرطبة,شمال,سكني,720 ,15 ,2850 
الرياض,غرب الرياض,حي المهدية,غرب,غير محدد,450 ,15 ,1555 
الرياض,جنوب الرياض,حي عريض,جنوب,غير محدد,408 ,15 ,490 
الرياض,شمال الرياض,حي القيروان,3 شوارع,تجاري,6162 ,80 ,8500 
الرياض,شمال الرياض,حي القيروان,شمال شرقي,سكني,900 ,20 ,4200 
الرياض,شمال الرياض,حي الفلاح,شمال,سكني,600 ,20 ,3800 
الرياض,شمال الرياض,حي الملك عبدالله,3 شوارع,سكني أو تجاري,7179 ,30 ,4500 
الرياض,شرق الرياض,حي الروضة,شمال غربي,سكني,1780 ,20 ,2300 
الرياض,شمال الرياض,حي النخيل,شرق,سكني,1125 ,25 ,3500 
الرياض,شمال الرياض,حي الفلاح,شمال,سكني,600 ,20 ,3750 
الرياض,شرق الرياض,حي القادسية,شرق,سكني,900 ,30 ,1800 
الرياض,غرب الرياض,حي عرقة,شمال,سكني,525 ,25 ,3000 
الرياض,غرب الرياض,حي الرائد,جنوب,سكني,500 ,15 ,3500 
الرياض,شمال الرياض,حي القيروان,4 شوارع,سكني أو تجاري,3744 ,30 ,3000 
الرياض,شمال الرياض,حي العارض,جنوب,سكني,420 ,15 ,2500 
الرياض,شرق الرياض,حي قرطبة,3 شوارع,سكني أو تجاري,4740 ,30 ,2800 
الرياض,شمال الرياض,حي حطين,شمال,غير محدد,2630 ,20 ,5000 
الرياض,شرق الرياض,حي اليرموك,شمال,سكني,312 ,15 ,2850 
الرياض,شمال الرياض,حي حطين,جنوب شرقي,سكني,1575 ,15 ,4500 
الرياض,شمال الرياض,حي المرسلات,جنوب غربي,سكني,540 ,12 ,2800 
الرياض,شمال الرياض,حي الندى,غرب,سكني,387 ,12 ,3700 
الرياض,شمال الرياض,حي حطين,شرق,سكني,437 ,15 ,3700 
الرياض,شرق الرياض,حي اليرموك,جنوب,تجاري,750 ,80 ,5000 
الرياض,غرب الرياض,حي طويق,3 شوارع,تجاري,3000 ,30 ,1350 
الرياض,غرب الرياض,حي عرقة,غرب,سكني,1225 ,20 ,2800 
الرياض,شرق الرياض,حي الرمال,شمال,سكني,344 ,15 ,1500 
الرياض,شمال الرياض,حي حطين,جنوب,سكني,700 ,30 ,5000 
الرياض,شرق الرياض,حي المونسية,شمال شرقي,تجاري,2160 ,36 ,2500 
الرياض,جنوب الرياض,حي عريض,جنوب,غير محدد,408 ,15 ,490 
الرياض,شمال الرياض,حي الصحافة,3 شوارع,تجاري,4000 ,80 ,13000 
الرياض,شمال الرياض,حي حطين,شرق,سكني,675 ,15 ,4500 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,1620 ,28 ,3900 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,838 ,18 ,4800 
الرياض,شمال الرياض,حي الفلاح,شمال شرقي,غير محدد,2000 ,20 ,3500 
الرياض,شمال الرياض,حي الفلاح,شمال,سكني,1500 ,20 ,3000 
الرياض,شمال الرياض,حي الملقا,جنوب غربي,غير محدد,737 ,15 ,3800 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,343 ,15 ,4200 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,700 ,25 ,4500 
الرياض,جنوب الرياض,حي الدار البيضاء,غرب,سكني أو تجاري,875 ,30 ,914 
الرياض,جنوب الرياض,حي عريض,جنوب,غير محدد,408 ,15 ,490 
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,525 ,15 ,3100 
الرياض,شرق الرياض,حي المعيزلة,جنوب شرقي,غير محدد,2455 ,20 ,2570 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,744 ,21 ,4500 
الرياض,شرق الرياض,حي الفيحاء,غرب,سكني,480 ,15 ,2400 
الرياض,شمال الرياض,حي بنبان,شمال,سكني,375 ,20 ,840 
الرياض,شمال الرياض,حي حطين,شمال,سكني,750 ,15 ,4500 
الرياض,شمال الرياض,حي السليمانية,جنوب غربي,سكني,550 ,15 ,3600 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,744 ,18 ,4500 
الرياض,شمال الرياض,حي بنبان,شرق,سكني,3000 ,15 ,800 
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني,3684 ,50 ,4000 
الرياض,شمال الرياض,حي حطين,شرق,سكني,2587 ,60 ,3750 
الرياض,شمال الرياض,حي الصحافة,4 شوارع,سكني,8480 ,15 ,3500 
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,2500 ,25 ,3800 
الرياض,شرق الرياض,حي السعادة,جنوب,سكني,682 ,15 ,2100 
الرياض,شمال الرياض,حي النرجس,شرق,سكني,625 ,20 ,3500 
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني أو تجاري,1050 ,30 ,2749 
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,1050 ,15 ,3200 
الرياض,شمال الرياض,حي النخيل,غرب,سكني,1350 ,15 ,4500 
الرياض,شمال الرياض,حي حطين,شمال شرقي,سكني,1200 ,20 ,3800 
الرياض,شمال الرياض,حي بنبان,4 شوارع,غير محدد,8780 ,25 ,813 
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,455 ,25 ,1000 
الرياض,شمال الرياض,حي الوادي,شمال,سكني,325 ,15 ,3200 
الرياض,غرب الرياض,حي العريجاء الوسطى,جنوب,غير محدد,284 ,20 ,2900 
الرياض,شرق الرياض,حي قرطبة,شمال غربي,سكني,624 ,20 ,3000 
الرياض,شمال الرياض,حي الندى,شمال,سكني,420 ,15 ,4000 
الرياض,شمال الرياض,حي الرحمانية,جنوب غربي,سكني,1650 ,10 ,4000 
الرياض,شمال الرياض,حي الياسمين,4 شوارع,تجاري,17055 ,غير محدد,4250 
